year,impact_area,Fdescript,Fund_DAmt
2004,Poverty Alleviation,Field of Interst,437
2004,Poverty Alleviation,Field of Interst,1241
2004,Poverty Alleviation,Unrestricted,708
2004,Poverty Alleviation,Donor Advised,14
2004,Poverty Alleviation,Unrestricted,2e3
2004,Arts,Field of Interst,2150
2004,Poverty Alleviation,Donor Advised,2e3
2004,Arts,Field of Interst,500
2004,Poverty Alleviation,Designated,432
2004,Arts,Designated,2448
2004,Arts,Designated,1318
2004,Arts,Designated,1500
2004,Education,Unrestricted,3e3
2004,Poverty Alleviation,Unrestricted,1e3
2005,Poverty Alleviation,Donor Advised,1e3
2005,Poverty Alleviation,Donor Advised,1209
2005,Education,Donor Advised,1600
2005,Education,Unrestricted,100
2005,Education,Unrestricted,400
2005,Poverty Alleviation,Donor Advised,2500
2005,Education,Designated,7500
2005,Poverty Alleviation,Donor Advised,1e3
2005,Poverty Alleviation,Donor Advised,500
2005,Poverty Alleviation,Donor Advised,500
2005,Poverty Alleviation,Donor Advised,1250
2005,Poverty Alleviation,Unrestricted,222
2005,Poverty Alleviation,Unrestricted,386
2005,Poverty Alleviation,Unrestricted,383
2005,Poverty Alleviation,Field of Interst,2009
2005,Poverty Alleviation,Field of Interst,1e3
2005,Arts,Unrestricted,426
2005,Arts,Field of Interst,404
2005,Arts,Unrestricted,200
2005,Arts,Unrestricted,290
2005,Arts,Unrestricted,1180
2005,Arts,Unrestricted,440
2005,Arts,Field of Interst,566
2005,Arts,Field of Interst,245
2005,Arts,Unrestricted,249
2005,Poverty Alleviation,Field of Interst,500
2005,Poverty Alleviation,Field of Interst,3e3
2005,Poverty Alleviation,Field of Interst,1616
2005,Poverty Alleviation,Unrestricted,73
2005,Poverty Alleviation,Unrestricted,311
2005,Poverty Alleviation,Field of Interst,2149
2005,Poverty Alleviation,Unrestricted,102
2005,Poverty Alleviation,Unrestricted,2260
2005,Poverty Alleviation,Unrestricted,489
2005,Arts,Field of Interst,1950
2005,Education,Unrestricted,2610
2005,Education,Unrestricted,72
2005,Education,Field of Interst,633
2005,Education,Unrestricted,185
2005,Poverty Alleviation,Unrestricted,1128
2005,Poverty Alleviation,Unrestricted,413
2005,Poverty Alleviation,Unrestricted,304
2005,Poverty Alleviation,Unrestricted,155
2005,Environment and Climate Change,Field of Interst,902
2005,Environment and Climate Change,Field of Interst,2098
2005,Poverty Alleviation,Unrestricted,975
2005,Poverty Alleviation,Field of Interst,684
2005,Poverty Alleviation,Unrestricted,741
2005,Environment and Climate Change,Field of Interst,3e3
2005,Arts,Field of Interst,300
2005,Arts,Field of Interst,200
2005,Arts,Field of Interst,4700
2005,Education,Field of Interst,2e3
2005,Poverty Alleviation,Field of Interst,5e3
2005,Arts,Field of Interst,2690
2005,Education,Unrestricted,3027
2005,Education,Unrestricted,348
2005,Peace and Human Rights,Field of Interst,2300
2005,Peace and Human Rights,Field of Interst,89
2005,Peace and Human Rights,Field of Interst,1911
2005,Environment and Climate Change,Unrestricted,2500
2005,Education,Unrestricted,500
2005,Education,Unrestricted,884
2005,Education,Unrestricted,116
2005,Education,Field of Interst,1600
2005,Education,Unrestricted,1340
2005,Education,Field of Interst,197
2005,Education,Unrestricted,480
2005,Education,Field of Interst,2183
2005,Poverty Alleviation,Field of Interst,2e3
2005,Environment and Climate Change,Field of Interst,3500
2005,Arts,Field of Interst,4200
2005,Peace and Human Rights,Field of Interst,500
2005,Arts,Field of Interst,2e3
2005,Peace and Human Rights,Field of Interst,1e3
2005,Peace and Human Rights,Field of Interst,1800
2005,Education,Unrestricted,221
2005,Education,Unrestricted,2779
2005,Peace and Human Rights,Field of Interst,895
2005,Peace and Human Rights,Field of Interst,855
2005,Education,Field of Interst,5e3
2005,Arts,Field of Interst,1500
2005,Environment and Climate Change,Field of Interst,335
2005,Environment and Climate Change,Field of Interst,665
2005,Arts,Field of Interst,3e3
2005,Poverty Alleviation,Field of Interst,910
2005,Poverty Alleviation,Field of Interst,4090
2005,Peace and Human Rights,Field of Interst,900
2005,Peace and Human Rights,Field of Interst,750
2005,Poverty Alleviation,Donor Advised,1e3
2005,Education,Donor Advised,2e3
2005,Poverty Alleviation,Donor Advised,1e3
2005,Poverty Alleviation,Donor Advised,1e3
2005,Poverty Alleviation,Donor Advised,1e3
2005,Arts,Donor Advised,2e3
2005,Poverty Alleviation,Donor Advised,2e3
2005,Poverty Alleviation,Donor Advised,1e3
2005,Poverty Alleviation,Donor Advised,1e3
2005,Poverty Alleviation,Donor Advised,1e3
2005,Poverty Alleviation,Donor Advised,2e3
2005,Poverty Alleviation,Donor Advised,2765
2005,Poverty Alleviation,Designated,607
2005,Arts,Designated,2574
2006,Poverty Alleviation,Donor Advised,1e3
2006,Education,Donor Advised,655
2006,Poverty Alleviation,Donor Advised,1500
2006,Poverty Alleviation,Donor Advised,2e3
2006,Poverty Alleviation,Donor Advised,1e3
2006,Poverty Alleviation,Donor Advised,1e3
2006,Education,Designated,300
2006,Education,Unrestricted,211.38
2006,Education,Designated,288.62
2006,Education,Unrestricted,1300
2006,Education,Designated,7500
2006,Education,Designated,13018
2006,Poverty Alleviation,Donor Advised,500
2006,Poverty Alleviation,Donor Advised,500
2006,Peace and Human Rights,Donor Advised,500
2006,Poverty Alleviation,Donor Advised,1e3
2006,Poverty Alleviation,Donor Advised,1e3
2006,Poverty Alleviation,Donor Advised,1e3
2006,Poverty Alleviation,Donor Advised,1e3
2006,Education,Designated,5e3
2006,Poverty Alleviation,Field of Interst,1195
2006,Poverty Alleviation,Field of Interst,757
2006,Poverty Alleviation,Field of Interst,448
2006,Poverty Alleviation,Unrestricted,806
2006,Poverty Alleviation,Unrestricted,207
2006,Poverty Alleviation,Unrestricted,1381
2006,Poverty Alleviation,Unrestricted,206
2006,Arts,Unrestricted,1e3
2006,Peace and Human Rights,Field of Interst,1100
2006,Peace and Human Rights,Unrestricted,152
2006,Peace and Human Rights,Unrestricted,439
2006,Peace and Human Rights,Unrestricted,361
2006,Peace and Human Rights,Unrestricted,215
2006,Peace and Human Rights,Unrestricted,345
2006,Peace and Human Rights,Unrestricted,180
2006,Peace and Human Rights,Unrestricted,71
2006,Peace and Human Rights,Unrestricted,137
2006,Arts,Field of Interst,3500
2006,Peace and Human Rights,Field of Interst,3e3
2006,Education,Field of Interst,4342
2006,Education,Unrestricted,115
2006,Education,Unrestricted,543
2006,Poverty Alleviation,Field of Interst,2e3
2006,Arts,Field of Interst,3e3
2006,Poverty Alleviation,Field of Interst,4500
2006,Poverty Alleviation,Field of Interst,500
2006,Environment and Climate Change,Field of Interst,5e3
2006,Arts,Field of Interst,6400
2006,Environment and Climate Change,Field of Interst,6300
2006,Arts,Unrestricted,3331
2006,Arts,Unrestricted,1669
2006,Peace and Human Rights,Field of Interst,211
2006,Peace and Human Rights,Field of Interst,1389
2006,Education,Unrestricted,758
2006,Education,Unrestricted,252
2006,Education,Unrestricted,371
2006,Education,Unrestricted,119
2006,Poverty Alleviation,Field of Interst,2e3
2006,Arts,Field of Interst,5e3
2006,Education,Unrestricted,1500
2006,Education,Unrestricted,500
2006,Education,Field of Interst,500
2006,Arts,Field of Interst,2351
2006,Arts,Field of Interst,671
2006,Arts,Unrestricted,663
2006,Arts,Field of Interst,520
2006,Arts,Field of Interst,295
2006,Education,Unrestricted,1e3
2006,Peace and Human Rights,Field of Interst,644
2006,Peace and Human Rights,Field of Interst,420
2006,Peace and Human Rights,Unrestricted,9
2006,Peace and Human Rights,Unrestricted,427
2006,Poverty Alleviation,Field of Interst,3e3
2006,Poverty Alleviation,Field of Interst,2e3
2006,Environment and Climate Change,Unrestricted,2e3
2006,Arts,Field of Interst,5e3
2006,Education,Unrestricted,1043
2006,Education,Field of Interst,204
2006,Education,Unrestricted,3016
2006,Education,Unrestricted,1437
2006,Poverty Alleviation,Field of Interst,4500
2006,Poverty Alleviation,Field of Interst,500
2006,Education,Field of Interst,1500
2006,Education,Field of Interst,1500
2006,Education,Field of Interst,1500
2006,Poverty Alleviation,Unrestricted,2e3
2006,Poverty Alleviation,Field of Interst,1e3
2006,Arts,Field of Interst,5e3
2006,Education,Field of Interst,649
2006,Education,Unrestricted,899
2006,Education,Field of Interst,57
2006,Education,Unrestricted,3
2006,Education,Unrestricted,25
2006,Education,Unrestricted,336
2006,Education,Unrestricted,445
2006,Education,Unrestricted,50
2006,Education,Unrestricted,1109
2006,Education,Unrestricted,427
2006,Peace and Human Rights,Field of Interst,922
2006,Peace and Human Rights,Field of Interst,971
2006,Peace and Human Rights,Field of Interst,3107
2006,Arts,Donor Advised,500
2006,Education,Designated,33e3
2006,Education,Donor Advised,1800
2006,Arts,Designated,2639
2006,Education,Designated,400
2006,Poverty Alleviation,Designated,633
2006,Education,Designated,500
2007,Poverty Alleviation,Donor Advised,5e3
2007,Education,Donor Advised,1600
2007,Education,Unrestricted,1336
2007,Education,Donor Advised,200
2007,Poverty Alleviation,Donor Advised,1e3
2007,Arts,Designated,6772
2007,Arts,Designated,1310
2007,Education,Designated,2e3
2007,Education,Designated,3e3
2007,Education,Designated,2e3
2007,Peace and Human Rights,Donor Advised,500
2007,Poverty Alleviation,Donor Advised,1e3
2007,Poverty Alleviation,Donor Advised,500
2007,Poverty Alleviation,Donor Advised,500
2007,Poverty Alleviation,Donor Advised,500
2007,Arts,Field of Interst,2500
2007,Peace and Human Rights,Field of Interst,1121
2007,Peace and Human Rights,Unrestricted,1500
2007,Peace and Human Rights,Unrestricted,1225
2007,Peace and Human Rights,Unrestricted,129
2007,Peace and Human Rights,Unrestricted,25
2007,Poverty Alleviation,Field of Interst,3e3
2007,Poverty Alleviation,Field of Interst,-1e3
2007,Poverty Alleviation,Field of Interst,2e3
2007,Poverty Alleviation,Field of Interst,2500
2007,Arts,Field of Interst,3e3
2007,Arts,Field of Interst,5e3
2007,Peace and Human Rights,Field of Interst,2e3
2007,Poverty Alleviation,Field of Interst,952
2007,Poverty Alleviation,Field of Interst,805
2007,Poverty Alleviation,Unrestricted,427
2007,Poverty Alleviation,Unrestricted,216
2007,Environment and Climate Change,Field of Interst,3400
2007,Poverty Alleviation,Unrestricted,3e3
2007,Poverty Alleviation,Unrestricted,1500
2007,Arts,Field of Interst,2500
2007,Arts,Unrestricted,1539
2007,Arts,Unrestricted,269
2007,Arts,Unrestricted,98
2007,Arts,Unrestricted,94
2007,Poverty Alleviation,Field of Interst,2e3
2007,Poverty Alleviation,Field of Interst,690
2007,Poverty Alleviation,Unrestricted,1500
2007,Poverty Alleviation,Unrestricted,310
2007,Education,Field of Interst,2067
2007,Education,Unrestricted,233
2007,Education,Unrestricted,1700
2007,Poverty Alleviation,Unrestricted,4e3
2007,Poverty Alleviation,Unrestricted,475
2007,Poverty Alleviation,Unrestricted,25
2007,Arts,Field of Interst,1500
2007,Arts,Field of Interst,2e3
2007,Arts,Field of Interst,500
2007,Environment and Climate Change,Field of Interst,565
2007,Environment and Climate Change,Unrestricted,1500
2007,Environment and Climate Change,Unrestricted,1511
2007,Environment and Climate Change,Field of Interst,881
2007,Environment and Climate Change,Unrestricted,43
2007,Arts,Field of Interst,2e3
2007,Education,Unrestricted,1500
2007,Poverty Alleviation,Field of Interst,2e3
2007,Poverty Alleviation,Field of Interst,500
2007,Poverty Alleviation,Unrestricted,1e3
2007,Poverty Alleviation,Unrestricted,408
2007,Peace and Human Rights,Field of Interst,4255
2007,Peace and Human Rights,Field of Interst,818
2007,Peace and Human Rights,Field of Interst,127
2007,Poverty Alleviation,Field of Interst,3e3
2007,Education,Field of Interst,691
2007,Education,Field of Interst,214
2007,Education,Unrestricted,13
2007,Education,Unrestricted,248
2007,Education,Unrestricted,227
2007,Education,Unrestricted,352
2007,Education,Unrestricted,406
2007,Education,Unrestricted,226
2007,Education,Unrestricted,391
2007,Education,Unrestricted,202
2007,Education,Unrestricted,448
2007,Education,Unrestricted,82
2007,Education,Unrestricted,132
2007,Education,Unrestricted,597
2007,Education,Unrestricted,271
2007,Arts,Field of Interst,4e3
2007,Environment and Climate Change,Field of Interst,2500
2007,Environment and Climate Change,Field of Interst,2e3
2007,Arts,Field of Interst,2500
2007,Arts,Field of Interst,500
2007,Arts,Field of Interst,3500
2007,Poverty Alleviation,Field of Interst,4500
2007,Peace and Human Rights,Field of Interst,2800
2007,Arts,Unrestricted,2646
2007,Arts,Field of Interst,793
2007,Arts,Field of Interst,710
2007,Arts,Field of Interst,351
2007,Arts,Field of Interst,1e3
2007,Education,Field of Interst,3e3
2007,Education,Field of Interst,2e3
2007,Poverty Alleviation,Field of Interst,4750
2007,Education,Field of Interst,4750
2007,Arts,Designated,2834
2007,Poverty Alleviation,Designated,689
2007,Education,Designated,450
2007,Education,Designated,400
2007,Poverty Alleviation,Designated,3e4
2007,Education,Designated,4500
2007,Education,Designated,4500
2007,Poverty Alleviation,Donor Advised,500
2007,Poverty Alleviation,Donor Advised,3500
2008,Poverty Alleviation,Donor Advised,500
2008,Poverty Alleviation,Donor Advised,2e3
2008,Education,Designated,1213
2008,Education,Donor Advised,1600
2008,Poverty Alleviation,Donor Advised,1e3
2008,Poverty Alleviation,Donor Advised,500
2008,Poverty Alleviation,Donor Advised,1e3
2008,Education,Donor Advised,5e3
2008,Arts,Donor Advised,5e3
2008,Education,Unrestricted,2e3
2008,Education,Unrestricted,2e3
2008,Poverty Alleviation,Unrestricted,500
2008,Poverty Alleviation,Unrestricted,500
2008,Arts,Unrestricted,505
2008,Poverty Alleviation,Unrestricted,250
2008,Poverty Alleviation,Donor Advised,1e3
2008,Education,Field of Interst,2e3
2008,Education,Field of Interst,2750
2008,Peace and Human Rights,Field of Interst,5e3
2008,Environment and Climate Change,Field of Interst,3e3
2008,Education,Field of Interst,1500
2008,Peace and Human Rights,Field of Interst,1e3
2008,Poverty Alleviation,Field of Interst,1e3
2008,Poverty Alleviation,Field of Interst,1e3
2008,Arts,Field of Interst,4e3
2008,Arts,Field of Interst,1800
2008,Arts,Field of Interst,1200
2008,Poverty Alleviation,Field of Interst,500
2008,Poverty Alleviation,Field of Interst,1500
2008,Poverty Alleviation,Field of Interst,1e3
2008,Poverty Alleviation,Unrestricted,522
2008,Poverty Alleviation,Unrestricted,240
2008,Poverty Alleviation,Unrestricted,663
2008,Poverty Alleviation,Unrestricted,75
2008,Education,Unrestricted,1123
2008,Education,Unrestricted,3876.87
2008,Education,Unrestricted,0.13
2008,Peace and Human Rights,Field of Interst,4e3
2008,Poverty Alleviation,Field of Interst,4372
2008,Poverty Alleviation,Unrestricted,491
2008,Poverty Alleviation,Unrestricted,84
2008,Poverty Alleviation,Unrestricted,53
2008,Environment and Climate Change,Field of Interst,1e3
2008,Arts,Field of Interst,789
2008,Arts,Unrestricted,5
2008,Arts,Unrestricted,706
2008,Arts,Field of Interst,2075
2008,Peace and Human Rights,Field of Interst,2500
2008,Education,Field of Interst,1081
2008,Education,Field of Interst,886
2008,Education,Field of Interst,661
2008,Education,Unrestricted,367
2008,Education,Unrestricted,5
2008,Poverty Alleviation,Field of Interst,3e3
2008,Peace and Human Rights,Field of Interst,1631
2008,Peace and Human Rights,Field of Interst,219
2008,Education,Unrestricted,1221
2008,Education,Unrestricted,130
2008,Education,Unrestricted,351
2008,Education,Unrestricted,509
2008,Education,Unrestricted,127
2008,Education,Unrestricted,207
2008,Education,Field of Interst,204
2008,Education,Unrestricted,412
2008,Education,Unrestricted,1730
2008,Education,Unrestricted,109
2008,Education,Unrestricted,2500
2008,Arts,Field of Interst,2700
2008,Education,Unrestricted,1018
2008,Education,Unrestricted,388
2008,Education,Unrestricted,594
2008,Poverty Alleviation,Field of Interst,3305
